[38057:0x7caf40c000]     1282 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.40 / 0.00 ms (+ 0.1 ms in 11 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.980, current mu = 0.981) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1311 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.00 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.983) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1339 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.42 / 0.00 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.982) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1366 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.00 ms (+ 0.1 ms in 5 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.982) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1395 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.42 / 0.01 ms (+ 0.1 ms in 5 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.983, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1424 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.40 / 0.00 ms (+ 0.1 ms in 5 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.983, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1452 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.981) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1480 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.00 ms (+ 0.2 ms in 13 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.980, current mu = 0.978) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1509 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.01 ms (+ 0.2 ms in 11 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.980, current mu = 0.980) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1537 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.40 / 0.00 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.983) finalize incremental marking via stack guard; GC in old space requested
{"name":"retained-search","mediansMs":[0.5978395500000033,0.6062521000000061],"ratio":1.0140715849260937}
